Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2016);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories;Unnamed: 19
5400;5800207528;Recherches Linguistiques de Vincennes;book series;9866124;0.105;Q4;4;0;5;0;1;5;0.2;0;France;Presses universitaires de Vincennes;2011-2012, 2014-2015;"Language and Linguistics (Q3); Linguistics and Language (Q4)";
5401;21100266736;Research in Accounting in Emerging Economies;book series;14793563;0.105;Q4;10;0;27;0;2;26;0;0;United Kingdom;Emerald Group Publishing Ltd.;2008-2015;"Accounting (Q4); Development (Q4); Finance (Q4)";
5402;8100153108;Revista Brasileira de Historia;journal;1020188;0.105;Q3;6;32;93;1054;8;88;0.07;32.94;Brazil;Associacao Nacional dos Professores Universitarios de Historia, ANPUH;2001, 2007-ongoing;"Cultural Studies (Q3); History (Q3); Geography, Planning and Development (Q4); Sociology and Political Science (Q4)";
5403;5600155284;Revista de Antropologia Social;journal;19882831, 1131558X;0.105;Q4;8;23;60;928;10;54;0.15;40.35;Spain;Universidad Complutense de Madrid;2001, 2009-ongoing;Anthropology (Q4);
5404;21100227045;Revue Archeologique de l'Est;journal;12667706;0.105;Q4;3;19;60;1110;12;60;0.25;58.42;France;Universite de Dijon;2011-ongoing;"Archeology (Q4); Archeology (arts and humanities) (Q4)";
5405;68289;Revue du Nord;journal;352624;0.105;Q4;5;23;151;1181;3;148;0.03;51.35;France;Universite de Lille;1969-1970, 1972, 1974, 1977-1979, 1981-1985, 1988, 2001-ongoing;"History (Q3); Archeology (Q4); Archeology (arts and humanities) (Q4)";
5406;6000161368;Southern Cultures;journal;10688218;0.105;Q3;11;43;104;569;10;95;0.09;13.23;United States;University of North Carolina Press;2002-ongoing;"Cultural Studies (Q3); Arts and Humanities (miscellaneous) (Q4)";
5407;21100203701;Stem-, Spraak- en Taalpathologie;journal;9247025;0.105;Q3;2;1;127;108;4;123;0.03;108;Netherlands;Swets & Zeitlinger;2011-ongoing;"Language and Linguistics (Q3); Linguistics and Language (Q3); Developmental and Educational Psychology (Q4); Otorhinolaryngology (Q4); Speech and Hearing (Q4)";
5408;16600154704;Temps Modernes;journal;403075;0.105;Q3;4;62;249;753;11;229;0.07;12.15;France;Gallimard;2009-ongoing;"Cultural Studies (Q3); History (Q3); Literature and Literary Theory (Q3); Sociology and Political Science (Q4)";
5409;21100406821;Texts and Editions for New Testament Study;book series;15747085;0.105;Q3;3;0;71;0;7;66;0;0;Netherlands;Brill;2010;"Cultural Studies (Q3); History (Q3); Philosophy (Q3); Religious Studies (Q3)";
5410;21100241714;Transsylvania Nostra;journal;18425631;0.105;Q4;2;26;91;367;5;84;0.06;14.12;Romania;Transsylvania Nostra Foundation;2013, 2015-ongoing;"Conservation (Q3); History (Q3); Archeology (Q4); Archeology (arts and humanities) (Q4); Urban Studies (Q4)";
5411;21100228076;Twentieth-Century China;journal;15215385, 19405065;0.105;Q3;4;16;47;1141;5;38;0.12;71.31;United Kingdom;Maney Publishing;2002, 2012-ongoing;"Cultural Studies (Q3); History (Q3); Political Science and International Relations (Q4)";
5412;20797;Ulster Folklife;journal;827347;0.105;Q3;3;0;9;0;0;5;0;0;United Kingdom;Ulster Folk and Transport Museum;1980, 2002-2006, 2010-2014;"Cultural Studies (Q3); History (Q3); Visual Arts and Performing Arts (Q3); Anthropology (Q4)";
5413;25722;World Policy Journal;journal;7402775;0.105;Q4;19;66;203;0;14;140;0.06;0;United States;Duke University Press;1989, 1994, 1996-ongoing;"Political Science and International Relations (Q4); Sociology and Political Science (Q4)";
5414;21100455528;2015 5th International Conference on Digital Information Processing and Communications, ICDIPC 2015;conference and proceedings;2015;0.104;-;5;0;53;0;14;52;0.27;0;United States;;2015;"Computer Science Applications; Language and Linguistics; Linguistics and Language; Software";
5415;21100456623;28th Bled eConference: #eWellbeing - Proceedings;conference and proceedings;2015;0.104;-;3;0;38;0;7;37;0.19;0;United States;;2015;"Computer Networks and Communications; Computer Science Applications; Education; Information Systems";
5416;5800207606;AAA, Arbeiten aus Anglistik und Amerikanistik;journal;1715410;0.104;Q4;6;9;31;243;5;30;0.15;27;Germany;Gunter Narr Verlag;2002-ongoing;"Language and Linguistics (Q3); Literature and Literary Theory (Q3); Linguistics and Language (Q4)";
5417;4100151503;Advances in Industrial and Labor Relations;book series;7426186;0.104;Q4;8;17;7;976;0;6;0;57.41;United Kingdom;Emerald Group Publishing Ltd.;2001-2006, 2009-2012, 2015-ongoing;"Economics, Econometrics and Finance (miscellaneous) (Q4); Industrial Relations (Q4); Organizational Behavior and Human Resource Management (Q4); Political Science and International Relations (Q4)";
5418;21100229815;Antropologia Portuguesa;journal;8700990;0.104;Q4;3;7;7;253;0;6;0;36.14;Portugal;Universidade de Coimbra;2011-2012, 2014, 2016-ongoing;Anthropology (Q4);
5419;21100211326;Araucaria;journal;15756823;0.104;Q4;3;43;89;1267;4;88;0.06;29.47;Spain;Universidad de Sevilla, Servicio de Publicaciones;2012-ongoing;"History (Q3); Philosophy (Q3); Sociology and Political Science (Q4)";
5420;21100259109;Arctos;journal;0570734X;0.104;Q4;3;11;38;245;11;38;0.3;22.27;Finland;Klassillis-filologinen yhdistys;2011-ongoing;"Classics (Q3); Language and Linguistics (Q3); Linguistics and Language (Q4)";
5421;21100266629;Automated People Movers and Transit Systems 2013: Half a Century of Automated Transit - Past, Present, and Future - Proceedings of the 14th International Conference;conference and proceedings;2013;0.104;-;3;0;48;0;10;46;0;0;United States;;2013;"Biomedical Engineering; Transportation";
5422;19700175904;Collegiate Aviation Review;journal;15235955;0.104;Q4;3;5;71;157;13;67;0.22;31.4;United States;University Aviation Association;2009-ongoing;Education (Q4);
5423;145698;Cyprus Review;journal;10152881;0.104;Q4;13;6;49;216;7;45;0.13;36;Cyprus;Intercollege-Research and Development Center;2005-ongoing;"Economics and Econometrics (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)";
5424;21100416319;Digithum;journal;15752275;0.104;Q4;2;8;7;124;0;6;0;15.5;Spain;Universitat Oberta de Catalunya;2015-ongoing;"Arts and Humanities (miscellaneous) (Q4); Social Sciences (miscellaneous) (Q4)";
5425;21100448571;DIYNetworking 2015 - Proceedings of the 2015 Workshop on Do-it-Yourself Networking: An Interdisciplinary Approach;conference and proceedings;2015;0.104;-;3;0;8;0;7;6;1.17;0;United States;;2015;"Artificial Intelligence; Computer Networks and Communications; Computer Science Applications; Education; Information Systems; Software";
5426;98366;Estudis Romanics;journal;02118572, 20139500;0.104;Q4;3;23;71;871;4;71;0.02;37.87;Spain;Institut d'Estudis Catalans;1970, 2011-ongoing;"Language and Linguistics (Q3); Linguistics and Language (Q4)";
5427;25080;Health and Population: Perspectives and Issues;journal;2536803;0.104;Q4;11;0;23;0;2;23;0.09;0;India;National Institute of Health and Family Welfare;1978-1982, 2000-2010;"Epidemiology (Q4); Health (social science) (Q4); Public Health, Environmental and Occupational Health (Q4)";
5428;5600155211;Historia Critica;journal;1211617;0.104;Q3;7;43;104;1178;17;95;0.14;27.4;Colombia;Universidad de los Andes;2001-ongoing;"Cultural Studies (Q3); History (Q3); Geography, Planning and Development (Q4); Social Sciences (miscellaneous) (Q4)";
5429;21100283786;Historia Urbana;journal;1221650X;0.104;Q4;1;17;52;306;2;52;0.06;18;Romania;Editura Academiei Romane;2013-ongoing;"History (Q3); Urban Studies (Q4)";
5430;19700201134;Hong Kong journal of Social Sciences;journal;10213619;0.104;Q4;1;7;6;212;0;6;0;30.29;China;Niu jin da xue zhu ban she;2010-2013, 2016-ongoing;Social Sciences (miscellaneous) (Q4);
5431;21100773816;International Journal of Adult, Community and Professional Learning;journal;23286318, 23286296;0.104;Q4;2;12;55;448;7;55;0.19;37.33;Australia;Common Ground Research Networks;2013-ongoing;Education (Q4);
5432;19600156840;Journal of Burma Studies;journal;1094799X;0.104;Q3;6;12;47;551;12;43;0.19;45.92;United States;Northern Illinois University, Center for Southeast Asian Studies;2001, 2009-ongoing;"Cultural Studies (Q3); History (Q3)";
5433;19700201412;Journal of Integral Theory and Practice;journal;19445091, 19445083;0.104;Q4;7;0;61;0;10;57;0.2;0;United States;Integral Institute;2010-2014;"Philosophy (Q3); Communication (Q4); Education (Q4)";
5434;19700183010;Journal of International Commercial Law and Technology;journal;19018401;0.104;Q4;8;0;47;0;12;46;0.19;0;Denmark;International Association of IT Lawyers;2006-2015;"Computer Science (miscellaneous) (Q4); Law (Q4)";
5435;21100229177;Journal of Psychological and Educational Research;journal;22471537;0.104;Q4;3;17;39;651;4;38;0.16;38.29;Romania;Editura Universitati din Oradea;2011-ongoing;"Applied Psychology (Q4); Developmental and Educational Psychology (Q4); Education (Q4)";
5436;20905;Kriminalistik;journal;234699;0.104;Q4;8;76;399;1214;6;363;0.02;15.97;Germany;Huthig GmbH;1974-1983, 1996-ongoing;Law (Q4);
5437;5700163879;KronoScope: Journal for the Study of Time;journal;1567715X, 15685241;0.104;Q4;7;8;46;119;6;38;0.09;14.88;Netherlands;Brill;2001-ongoing;"Philosophy (Q3); Astronomy and Astrophysics (Q4); History and Philosophy of Science (Q4); Social Sciences (miscellaneous) (Q4)";
5438;21100229871;Kwartalnik Historii Zydow / Jewish History Quarterly;journal;14259966;0.104;Q3;3;0;123;0;2;119;0.01;0;Poland;Zydowski Instytut Historyczny;2012-2015;"Cultural Studies (Q3); History (Q3); Religious Studies (Q3)";
5439;21100407622;Legislation, Technology and Practice of Mine Land Reclamation - Proceedings of the Beijing International Symposium Land Reclamation and Ecological Restoration, LRER 2014;conference and proceedings;2015;0.104;-;2;0;99;0;8;97;0.08;0;Netherlands;;2015;Human Factors and Ergonomics;
5440;21100792805;Machado de Assis em Linha;journal;19836821;0.104;Q4;1;35;9;390;0;6;0;11.14;Brazil;Universidade De Sao Paulo;2016-ongoing;"Language and Linguistics (Q3); Literature and Literary Theory (Q3); Linguistics and Language (Q4)";
5441;21100298205;Management and Technology in Knowledge, Service, Tourism and Hospitality - Proc. of the Annual Int. Conf. on Management and Technology in Knowledge, Service, Tourism and Hospitality 2013, SERVE 2013;conference and proceedings;2014;0.104;-;2;0;27;0;3;25;0.12;0;Netherlands;;2014;"E-learning; Management of Technology and Innovation";
5442;21100255545;Management Education;journal;23279273, 23278005;0.104;Q4;1;8;35;244;2;35;0.04;30.5;United States;Common Ground Research Networks;2013-ongoing;"Business, Management and Accounting (miscellaneous) (Q4); Education (Q4)";
5443;18888;Meridian;journal;10979778;0.104;Q4;8;0;9;0;0;6;0;0;United States;North Carolina State University;1998-2015;"Computer Science Applications (Q4); Education (Q4)";
5444;10300153314;Metascience;journal;14679981, 08150796;0.104;Q4;2;9;12;79;0;6;0;8.78;Germany;Springer Verlag;2008-ongoing;"History (Q3); History and Philosophy of Science (Q4); Social Sciences (miscellaneous) (Q4)";
5445;21100228045;Microform and Digitization Review;journal;21900752;0.104;Q4;3;0;6;0;0;6;0;0;Germany;Walter de Gruyter GmbH;2011-2012;Library and Information Sciences (Q4);
5446;22772;Policy Review;journal;1465945;0.104;Q4;17;0;6;0;1;6;0;0;United States;Heritage Foundation;1981, 1983, 1985, 1989, 1992, 1999, 2001-2013;Sociology and Political Science (Q4);
5447;21100346013;Proceedings - 2014 16th Symposium on Virtual and Augmented Reality, SVR 2014;conference and proceedings;2014;0.104;-;5;0;49;0;17;46;0.37;0;United States;;2014;"Computer Graphics and Computer-Aided Design; Computer Vision and Pattern Recognition; E-learning";
5448;21100420417;Proceedings - 2015 IEEE Region 10 Symposium, TENSYMP 2015;conference and proceedings;2015;0.104;-;4;0;24;0;11;23;0.48;0;United States;;2015;"Agronomy and Crop Science; Animal Science and Zoology; Development; Geography, Planning and Development";
5449;21100313917;Proceedings of the 10th Global Congress on ICM: Lessons Learned to Address New Challenges, EMECS 2013 - MEDCOAST 2013 Joint Conference;conference and proceedings;2013;0.104;-;3;0;137;0;7;135;0;0;Turkey;;2013;Geography, Planning and Development;
5450;21100294624;Proceedings of the AIS SIG-ED IAIM 2013 Conference;conference and proceedings;2013;0.104;-;2;0;20;0;2;19;0;0;United States;;2013;"Education; E-learning; Information Systems";
5451;16200154786;Prooftexts - Journal of Jewish Literature History;journal;2729601;0.104;Q3;9;0;54;0;6;50;0.03;0;United States;Johns Hopkins University Press;2002-ongoing;"Cultural Studies (Q3); Literature and Literary Theory (Q3); Religious Studies (Q3)";
5452;19400158814;Quebec Journal of International Law;journal;8289999;0.104;Q4;3;23;120;416;4;101;0.04;18.09;Canada;Presses de l'Universite du Quebec a Montreal;2007-ongoing;Law (Q4);
5453;21100287388;Recent Trends in Social and Behaviour Sciences - Proceedings of the 2nd International Congress on Interdisciplinary Behavior and Social Sciences 2013, ICIBSoS 2013;conference and proceedings;2014;0.104;-;4;0;112;0;14;110;0.13;0;Netherlands;;2014;Sociology and Political Science;
5454;16000154714;Revue Historique de Droit Francais et Etranger;journal;353280;0.104;Q4;5;0;6;0;2;6;0;0;France;Dalloz Editions;2002-2013;"History (Q3); Law (Q4)";
5455;16631;Rivista Internazionale di Scienze Sociali;journal;0035676X;0.104;Q4;5;20;65;672;9;64;0.14;33.6;Italy;Vita e Pensiero;1973, 2009-ongoing;"Economics, Econometrics and Finance (miscellaneous) (Q4); Social Sciences (miscellaneous) (Q4)";
5456;16633;Russian Education and Society;journal;10609393;0.104;Q4;6;48;153;877;9;151;0.07;18.27;United States;M.E. Sharpe Inc.;1965, 1975, 1986-1987, 1990, 1992-ongoing;"Education (Q4); Sociology and Political Science (Q4)";
5457;21100278310;SIGGRAPH Asia 2013 Symposium on Mobile Graphics and Interactive Applications, SA 2013;conference and proceedings;2013;0.104;-;4;0;35;0;10;34;0;0;United States;;2013;"Computer Graphics and Computer-Aided Design; E-learning; Human-Computer Interaction; Software";
5458;5700162922;Sistema;journal;2100223;0.104;Q4;0;6;6;192;0;6;0;32;Spain;Fundacion Sistema;2015-ongoing;Social Sciences (miscellaneous) (Q4);
5459;26462;Social Sciences in China;journal;2529203;0.104;Q4;9;51;141;977;14;135;0.07;19.16;United Kingdom;Taylor & Francis;1980-1981, 1983-1989, 1991-1997, 2008-ongoing;Social Sciences (miscellaneous) (Q4);
5460;21100244904;Studia Universitatis Babes-Bolyai Sociologia;journal;12248703;0.104;Q4;4;15;50;489;7;47;0.11;32.6;Romania;Universitatea Babes-Bolyai;2013-ongoing;Sociology and Political Science (Q4);
5461;21100220342;Studies in Regional Science;journal;02876256, 18806465;0.104;Q4;10;56;102;684;3;98;0.03;12.21;Japan;The Japan Section of the Regional Science Association International;2008, 2011-ongoing;"Environmental Science (miscellaneous) (Q4); Social Sciences (miscellaneous) (Q4)";
5462;5700153863;The Germanic Review;journal;00168890, 19306962;0.104;Q3;9;33;78;915;11;72;0.09;27.73;United States;Heldref Publications;1974-1980, 1982-1988, 1990-ongoing;"Cultural Studies (Q3); Literature and Literary Theory (Q3)";
5463;21100276233;UCMMT 2013 - 2013 6th UK, Europe, China Millimeter Waves and THz Technology Workshop;conference and proceedings;2013;0.104;-;2;0;61;0;7;59;0;0;United States;;2013;Communication;
5464;6500153188;Wasafiri;trade journal;2690055;0.104;Q3;8;51;164;432;6;105;0.04;8.47;United Kingdom;Routledge;1984-ongoing;"Cultural Studies (Q3); Literature and Literary Theory (Q3)";
5465;31602;Working Paper of the Helen Kellogg Institute for International Studies;journal;-;0.104;Q4;6;5;16;528;2;16;0.09;105.6;United States;Helen Kellogg Institute for International Studies;1987-ongoing;"Development (Q4); Geography, Planning and Development (Q4)";
5466;21100433805;Youth Voice Journal;journal;20562969;0.104;Q4;1;8;6;380;0;6;0;47.5;United Kingdom;IARS Publications;2015-ongoing;"Social Psychology (Q4); Sociology and Political Science (Q4)";
5467;21100338713;2013 IEEE 5th International Conference on Engineering Education: Aligning Engineering Education with Industrial Needs for Nation Development, ICEED 2013;conference and proceedings;2014;0.103;-;4;0;31;0;11;30;0.37;0;United States;;2014;"Education; Engineering (miscellaneous)";
5468;21100320403;2014 Joint Rail Conference, JRC 2014;conference and proceedings;2014;0.103;-;5;0;96;0;42;95;0.44;0;United States;;2014;Transportation;
5469;21100394089;20th ITS World Congress Tokyo 2013;conference and proceedings;2013;0.103;-;5;0;634;0;29;633;0;0;United States;;2013;"Artificial Intelligence; Automotive Engineering; Computer Networks and Communications; Computer Science Applications; Control and Systems Engineering; Electrical and Electronic Engineering; Mechanical Engineering; Transportation";
5470;29842;ABA Journal;journal;7470088;0.103;Q4;6;0;453;0;5;230;0.02;0;United States;American Bar Association;1984-1987, 1993, 1996-1999, 2002-2014;Law (Q4);
5471;24094;Acta Mathematica Academiae Paedagogicae Nyiregyhaziensis;journal;8660182;0.103;Q4;12;26;50;477;2;50;0.05;18.35;Hungary;Nyregyhazi Foiskola/College of Nyregyhaza;1998, 2000-ongoing;"Education (Q4); Mathematics (miscellaneous) (Q4)";
5472;21100403236;Air and Waste Management Association - International Conference on Thermal Treatment Technologies and Hazardous Waste Combustors 2014;conference and proceedings;2014;0.103;-;1;0;31;0;1;30;0.03;0;United States;;2014;Education;
5473;12622;Albany law review;journal;24678;0.103;Q4;5;3;7;0;0;7;0;0;United States;Albany Law School;1973-1977, 1979, 1981-1982, 1992, 1994, 1996, 1999-2000, 2002-ongoing;Law (Q4);
5474;21100434021;American Fuel and Petrochemical Manufacturers, AFPM - National Occupational and Process Safety Conference 2015;conference and proceedings;2015;0.103;-;0;0;7;0;0;7;0;0;United States;;2015;"Education; Information Systems";
5475;21100793182;Anuario Lope de Vega;journal;20148860;0.103;Q4;2;18;8;685;0;8;0;38.06;Spain;Universitat Autonoma de Barcelona;2015-ongoing;"Literature and Literary Theory (Q3); Language and Linguistics (Q4); Linguistics and Language (Q4)";
5476;21100258966;Bealoideas;journal;0332270X;0.103;Q3;1;9;9;235;1;8;0;26.11;Ireland;Folklore of Ireland Society;2011, 2013, 2016-ongoing;"Cultural Studies (Q3); Anthropology (Q4)";
5477;21100226830;BiD;journal;15755886;0.103;Q4;2;23;79;562;2;77;0.02;24.43;Spain;Universitat de Barcelona;2012-ongoing;Library and Information Sciences (Q4);
5478;21100275428;Bulletin d'Archeologie Marocaine;book series;684015;0.103;Q4;1;0;8;0;1;7;0;0;Morocco;Ministere des Affaires Culturelles;2013;"Archeology (Q4); Archeology (arts and humanities) (Q4)";
5479;27490;Bulletin de L'Association de Geographes Francais;journal;45322;0.103;Q4;7;27;111;618;5;107;0.05;22.89;France;Association de Geographes Francais;1978-ongoing;"Earth-Surface Processes (Q4); Geography, Planning and Development (Q4)";
5480;12253;China Business Review;journal;1637169;0.103;Q4;10;119;204;0;7;152;0.05;0;United States;National Council for US-China Trade;1983, 1991, 2005-ongoing;"Business and International Management (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4); Political Science and International Relations (Q4); Strategy and Management (Q4)";
5481;19400157211;Civil Szemle;journal;17863341;0.103;Q4;1;0;8;0;0;8;0;0;Hungary;New Mandate Publishing House;2008-2013;"Public Administration (Q4); Sociology and Political Science (Q4)";
5482;21100828738;Critical Housing Analysis;journal;23362839;0.103;Q4;4;12;22;184;1;22;0.05;15.33;Czech Republic;Institute of Sociology of the Czech Academy of Sciences;2014-ongoing;"Geography, Planning and Development (Q4); Sociology and Political Science (Q4); Urban Studies (Q4)";
5483;21100224008;Croatian Yearbook of European Law and Policy;journal;18455662;0.103;Q4;5;12;34;538;10;31;0.29;44.83;Croatia;Faculty of Law, University of Zagreb;2012-ongoing;Law (Q4);
5484;21100463164;Curriculum Matters;journal;22532129, 11771828;0.103;Q4;1;8;9;312;0;8;0;39;New Zealand;New Zealand Council for Educational Research Press;2015-ongoing;Education (Q4);
5485;20989;Environmental Forum;trade journal;7315732;0.103;Q4;8;27;63;110;3;63;0.03;4.07;United States;Environmental Law Institute;1997-ongoing;"Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4)";
5486;26808;Estudios demograficos y urbanos;journal;1867210;0.103;Q4;4;22;35;1032;2;33;0.06;46.91;Mexico;Colegio de Mexico, A.C.;1986-1999, 2014-ongoing;"Demography (Q4); Urban Studies (Q4)";
5487;21100451188;European Journal of Adapted Physical Activity;journal;18033857;0.103;Q4;3;8;8;325;0;8;0;40.63;Czech Republic;European Federation of Adapted Physical Activity;2015-ongoing;"Education (Q4); Health (social science) (Q4); Physical Therapy, Sports Therapy and Rehabilitation (Q4); Social Psychology (Q4)";
5488;21100301443;GeoSkill 2013: 21st Century Training and Education;conference and proceedings;2013;0.103;-;0;0;8;0;0;7;0;0;Netherlands;;2013;Anthropology;
5489;6000195384;GIS-Zeitschrift fÃ¼r Geoinformatik;journal;18699391;0.103;Q4;4;0;108;0;1;73;0.02;0;Germany;Wichmann Verlag;2006-2014;"Geography, Planning and Development (Q4); Information Systems (Q4)";
5490;21100405483;Green Building, Materials and Civil Engineering - Proceedings of the 4th International Conference on GreenBuilding, Materials and Civil Engineering, GBMCE 2014;conference and proceedings;2015;0.103;-;3;0;193;0;5;191;0.03;0;Netherlands;;2015;"Biomedical Engineering; Health Informatics; Health Information Management; Human Factors and Ergonomics; Public Health, Environmental and Occupational Health";
5491;12600154782;Hygiea Internationalis;journal;14044013, 14038668;0.103;Q4;4;21;9;634;0;8;0;30.19;Sweden;International Network for the History of Public Health;2007-2011, 2015-ongoing;"Health Policy (Q4); Health (social science) (Q4); History and Philosophy of Science (Q4); Public Health, Environmental and Occupational Health (Q4)";
5492;17352;IMF Occasional Papers;journal;2516365;0.103;Q4;18;0;11;0;0;8;0;0;United States;International Monetary Fund;1991-2011, 2013;"Development (Q4); Geography, Planning and Development (Q4)";
5493;5700154199;Index on Censorship;journal;3064220;0.103;Q4;8;112;377;0;11;317;0.03;0;United States;SAGE Publications;1972-1993, 1995-ongoing;"History (Q3); Philosophy (Q3); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";
5494;51335;Indian Journal of Agricultural Economics;journal;195014;0.103;Q4;16;0;98;0;11;88;0.06;0;India;Scientific Publishers;1978-ongoing;"Development (Q4); Geography, Planning and Development (Q4)";
5495;25867;Internationale Politik;journal;1430175X;0.103;Q4;7;141;363;79;6;322;0.02;0.56;Germany;Frankfurter Societaets-Druckerei GmbH;1996-ongoing;"Political Science and International Relations (Q4); Sociology and Political Science (Q4)";
5496;21100258631;International Journal of Early Childhood Learning;journal;23278722, 23277939;0.103;Q4;3;9;44;278;5;43;0.04;30.89;United States;Common Ground Research Networks;2013-ongoing;"Developmental and Educational Psychology (Q4); Education (Q4)";
5497;19900193276;International Journal of Interdisciplinary Social Sciences;journal;18331882;0.103;Q4;12;0;8;0;0;8;0;0;United States;Common Ground Research Networks;2006-2013;Social Sciences (miscellaneous) (Q4);
5498;19400158612;International Journal of Public Sector Performance Management;journal;17411041;0.103;Q4;6;6;12;343;3;11;0.5;57.17;United Kingdom;Inderscience Enterprises Ltd.;2009-ongoing;"Organizational Behavior and Human Resource Management (Q4); Public Administration (Q4); Strategy and Management (Q4)";
5499;86679;Issues in Legal Scholarship;journal;15398323;0.103;Q4;5;2;8;66;0;7;0;33;Germany;Walter de Gruyter GmbH;2004-2006, 2008-2009, 2011, 2013-ongoing;Law (Q4);
5500;35297;Journal International de Bioethique;book series;12877352, 21025169;0.103;Q4;7;52;171;923;13;143;0.05;17.75;France;Editions ESKA;1990-1993, 1997-ongoing;"Health Policy (Q4); Health (social science) (Q4); Medicine (miscellaneous) (Q4)";
5501;21100449122;Journal of Accessibility and Design for All;journal;20137087;0.103;Q4;2;6;7;212;1;7;0.14;35.33;Spain;Universitat Politecnica de Catalunya;2015-ongoing;"Architecture (Q3); Building and Construction (Q4); Human Factors and Ergonomics (Q4)";
5502;21100778091;Journal of Adult and Continuing Education;journal;14779714, 14797194;0.103;Q4;3;14;9;481;0;8;0;34.36;United States;SAGE Publications Inc.;2014, 2016-ongoing;Education (Q4);
5503;16200154739;Journal of Commonwealth and Postcolonial Studies;journal;10731687;0.103;Q4;4;9;9;245;0;8;0;27.22;United States;Georgia Southern University;2002-2006, 2008, 2010, 2014-ongoing;"History (Q3); Literature and Literary Theory (Q3); Visual Arts and Performing Arts (Q3); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";
5504;21100435282;Journal of Design and Built Environment;journal;22321500;0.103;Q4;3;8;8;311;0;8;0;38.88;Malaysia;University of Malaya;2015-ongoing;"Architecture (Q3); Building and Construction (Q4); Nature and Landscape Conservation (Q4); Urban Studies (Q4)";
5505;5700158578;Journal of Mediterranean Studies;journal;10163476;0.103;Q3;10;14;26;608;3;25;0.12;43.43;Malta;Malta University Publishers Ltd.;2002-2008, 2010-2012, 2014-ongoing;"Cultural Studies (Q3); Anthropology (Q4); Arts and Humanities (miscellaneous) (Q4)";
5506;18800156704;Journal of Science Education;journal;1245481;0.103;Q4;3;22;94;433;3;87;0.04;19.68;Colombia;Journal of Science Education;2009-ongoing;Education (Q4);
5507;18500167900;Journal of the Royal Asiatic Society;journal;13561863;0.103;Q3;15;42;99;2541;21;92;0.22;60.5;United Kingdom;Cambridge University Press;1991-ongoing;"Cultural Studies (Q3); Arts and Humanities (miscellaneous) (Q4)";
5508;23075;Langages;journal;0458726X;0.103;Q4;12;31;95;1223;17;94;0.06;39.45;France;Armand Colin Editeur;1976, 2002-ongoing;"Language and Linguistics (Q4); Linguistics and Language (Q4)";
5509;16000154799;Merkur;journal;260096;0.103;Q3;5;0;261;0;10;253;0.04;0;Germany;E. Klett Verlag;2002-2014;"Cultural Studies (Q3); Arts and Humanities (miscellaneous) (Q4); Sociology and Political Science (Q4)";
5510;21100448553;MIDDLEWARE 2015 - Middleware Posters and Demos 2015: Proceedings of the Posters and Demos Session of the 16th International Middleware Conference;conference and proceedings;2015;0.103;-;2;0;10;0;1;8;0.13;0;United States;;2015;"Communication; Information Systems; Signal Processing";
5511;21100291847;Mining the Digital Information Networks - Proceedings of the 17th International Conference on Electronic Publishing, ELPUB 2013;conference and proceedings;2013;0.103;-;2;0;10;0;1;8;0;0;Netherlands;;2013;"Computer Networks and Communications; E-learning; Information Systems";
5512;21100204119;NASPA Journal About Women in Higher Education;journal;19407882;0.103;Q4;4;12;33;616;4;29;0.08;51.33;United Kingdom;Taylor & Francis;2012-ongoing;"Education (Q4); Gender Studies (Q4)";
5513;11600153439;North Korean Review;journal;15512789;0.103;Q3;6;19;39;460;6;34;0.22;24.21;United States;McFarland and Company, Inc;2010-ongoing;"Cultural Studies (Q3); History (Q3); Economics, Econometrics and Finance (miscellaneous) (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";
5514;21100258849;Open Communication Journal;journal;1874916X;0.103;Q4;3;0;14;0;1;13;0.09;0;United Arab Emirates;Bentham Science Publishers;2011, 2013-2015;Communication (Q4);
5515;22932;Pakistan Development Review;journal;309729;0.103;Q4;20;54;113;2022;3;81;0.04;37.44;Pakistan;Pakistan Institute of Development Economics;1964, 1966, 1969, 1973-2012, 2014-ongoing;"Development (Q4); Geography, Planning and Development (Q4)";
5516;21100448989;Perspective Technologies and Methods in MEMS Design, MEMSTECH 2015 - Proceedings of 11th International Conference;conference and proceedings;2015;0.103;-;3;0;35;0;7;33;0.21;0;United States;;2015;"Computer Science Applications; Language and Linguistics; Linguistics and Language";
5517;21100441396;PIKM 2015 - Proceedings of the 8th Ph.D. Workshop in Information and Knowledge Management, co-located with: CIKM 2015;conference and proceedings;2015;0.103;-;2;0;9;0;4;7;0.57;0;United States;;2015;"Human Factors and Ergonomics; Public Health, Environmental and Occupational Health; Safety, Risk, Reliability and Quality";
5518;21100399751;Popular Entertainment Studies;journal;18379303;0.103;Q3;2;7;10;336;2;7;0.29;48;Australia;University of Newcastle;2015-ongoing;"Cultural Studies (Q3); Music (Q3); Visual Arts and Performing Arts (Q3)";
